cq 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
ba 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
oh 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
if 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
ql 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
kr 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
ek 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
xl 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
ml 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
en 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
sj 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
kd 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
fm 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
ia 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
gh 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
ke 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
tz 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 8 3 15 8 15 15 3 3 15 15 3 8 15 3
pl 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 3 15 8 15 15 3 3 15 15 3 8 15 3
an 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 15 8 15 15 3 3 15 15 3 8 15 3
ju 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 8 15 15 3 3 15 15 3 8 15 3
es 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 15 15 3 3 15 15 3 8 15 3
re 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 15 3 3 15 15 3 8 15 3
dx 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 3 3 15 15 3 8 15 3
xi 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 3 15 15 3 8 15 3
ze 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 15 15 3 8 15 3
fo 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 15 3 8 15 3
ow 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 3 8 15 3
au 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 8 15 3
gs 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 15 3
hj 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 3
gn 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999
;


end;
